			O1				O2				O3			
Ser	Image	Segment	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy
1	1	1	1381.54	463.88	1388.15	450.85	1380.58	464.33	1387.46	450.12	1382.96	466.66	1390.08	449.90
2	1	1	1377.36	461.56	1383.54	448.99	1376.48	461.96	1383.78	448.43	1376.75	463.57	1385.54	447.76
3	1	1	1374.45	460.17	1381.30	447.70	1372.93	459.95	1380.20	446.56	1372.41	461.17	1381.25	445.43
4	1	1	1370.00	458.18	1377.09	444.96	1369.58	458.21	1377.23	444.82	1368.68	459.05	1378.19	443.53
5	1	1	1365.48	455.97	1372.86	442.45	1365.77	456.52	1373.52	442.26	1365.55	457.27	1373.98	441.08
6	1	1	1360.74	453.37	1368.57	439.97	1361.61	454.36	1369.22	439.77	1361.03	454.88	1369.57	438.80
7	1	1	1357.67	451.56	1363.93	438.16	1358.16	452.47	1364.52	437.86	1357.33	453.05	1365.12	436.43
8	1	1	1353.21	449.17	1360.91	436.42	1353.07	449.93	1360.99	436.28	1351.84	449.92	1361.00	434.53
9	1	1	1349.43	446.98	1356.59	433.73	1349.57	447.92	1356.91	433.43	1347.90	447.60	1356.70	432.01
10	1	1	1344.88	444.51	1352.07	431.64	1344.64	445.37	1352.25	431.45	1344.26	445.98	1352.85	429.80
11	1	1	1340.67	442.24	1347.71	429.21	1340.94	443.60	1348.18	428.67	1340.37	443.73	1348.36	427.54
12	1	1	1336.77	440.05	1343.18	426.99	1335.25	440.97	1343.68	426.40	1336.27	441.56	1343.84	425.31
13	1	2	1381.12	850.00	1389.64	862.34	1380.42	849.36	1389.99	862.64	1379.26	850.06	1390.37	863.05
14	1	2	1377.37	852.44	1386.43	864.91	1376.21	852.30	1386.49	865.47	1376.75	851.93	1387.21	865.56
15	1	2	1373.56	854.76	1382.60	867.89	1372.76	854.93	1382.52	868.43	1372.95	854.46	1383.24	868.52
16	1	2	1368.90	858.56	1378.31	870.79	1368.42	858.65	1378.40	871.11	1369.67	857.11	1378.95	871.23
17	1	2	1365.00	861.84	1375.22	873.18	1365.53	860.82	1375.39	873.65	1364.45	861.22	1375.26	873.68
18	1	2	1361.97	864.94	1371.37	876.31	1360.77	864.38	1371.39	876.91	1360.71	863.98	1371.43	876.97
19	1	2	1358.62	867.90	1367.32	879.16	1357.82	866.95	1367.45	879.86	1356.81	867.43	1367.35	879.78
20	1	3	1233.48	1188.35	1240.15	1204.16	1231.99	1187.14	1239.61	1205.31	1233.97	1186.28	1240.37	1205.10
21	1	3	1228.85	1190.30	1236.50	1205.88	1228.19	1188.86	1236.06	1206.76	1228.35	1188.66	1236.68	1206.58
22	1	3	1224.73	1192.50	1232.46	1207.96	1224.21	1190.63	1231.84	1208.57	1223.27	1191.15	1232.08	1208.68
23	1	3	1220.65	1193.92	1228.57	1210.12	1219.25	1192.68	1227.63	1210.51	1219.29	1193.09	1227.62	1211.00
24	1	3	1215.84	1196.60	1224.17	1212.42	1214.77	1195.13	1224.10	1212.26	1215.94	1194.80	1223.56	1212.80
25	1	3	1212.57	1198.31	1219.53	1214.47	1211.35	1196.90	1219.66	1214.53	1210.27	1197.15	1218.98	1214.95
26	1	3	1207.55	1200.69	1216.85	1215.89	1206.19	1199.24	1216.05	1216.49	1206.51	1199.43	1215.86	1216.41
27	1	3	1205.16	1201.97	1212.48	1218.33	1202.32	1201.58	1212.71	1218.49	1203.02	1201.30	1211.52	1218.84
28	1	3	1199.55	1204.88	1207.99	1220.19	1198.43	1203.84	1208.37	1221.18	1199.03	1203.43	1206.94	1220.86
29	1	3	1195.76	1207.15	1203.41	1222.71	1194.53	1205.86	1204.09	1223.67	1193.80	1206.22	1202.97	1222.94
