			O1				O2				O3			
Ser	Image	Segment	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy
1	1	1	666.17	172.56	667.94	169.85	666.11	172.61	668.09	170.00	666.23	172.58	668.36	169.84
2	1	1	665.05	171.79	666.81	169.14	665.22	171.96	667.04	169.26	665.43	171.96	667.35	169.14
3	1	1	664.14	171.12	665.78	168.53	664.40	171.42	665.99	168.62	664.59	171.40	666.31	168.49
4	1	1	663.27	170.57	664.66	167.90	663.46	170.90	664.87	168.06	663.61	170.83	665.15	167.84
5	1	1	662.37	170.18	663.56	167.35	662.43	170.38	663.75	167.49	662.61	170.35	664.07	167.28
6	1	1	661.21	169.78	662.49	166.82	661.39	169.99	662.61	166.93	661.48	169.85	662.92	166.70
7	1	1	659.96	169.23	661.30	166.27	660.14	169.55	661.47	166.44	660.40	169.41	661.81	166.15
8	1	1	659.00	168.81	660.12	165.80	659.06	169.06	660.35	165.99	659.58	169.09	660.71	165.70
9	1	1	657.85	168.39	658.93	165.37	658.08	168.62	659.15	165.54	658.50	168.69	659.43	165.44
10	1	1	656.66	167.98	657.85	164.95	656.75	168.20	657.98	165.09	656.81	168.04	658.24	165.01
11	1	1	655.16	167.34	656.67	164.41	655.26	167.50	656.86	164.58	655.65	167.50	657.14	164.45
12	1	1	653.97	166.69	655.68	163.84	654.19	166.86	655.77	164.03	654.56	166.88	655.97	164.03
13	1	1	652.99	166.12	654.78	163.25	653.12	166.32	654.82	163.41	653.27	166.11	654.90	163.47
14	1	1	651.93	165.49	653.68	162.54	652.07	165.83	653.73	162.70	652.07	165.46	653.82	162.70
15	1	1	650.91	164.96	652.62	161.88	650.98	165.21	652.66	162.16	651.11	164.95	652.87	162.01
16	1	1	649.79	164.39	651.53	161.24	649.75	164.48	651.50	161.52	650.07	164.39	651.73	161.33
17	1	1	648.68	163.76	650.47	160.66	648.60	163.83	650.55	160.86	648.98	163.79	650.63	160.76
18	1	1	647.56	163.04	649.35	160.06	647.60	163.26	649.72	160.21	647.83	163.13	649.54	160.16
