			O1				O2				O3			
Ser	Image	Junction	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy
1	1	1	28.71	84.67	27.15	76.59	28.50	83.61	27.36	77.65	28.57	83.97	27.29	77.29
2	1	1	30.67	83.64	29.41	76.76	30.59	83.22	29.49	77.18	30.74	84.05	29.34	76.35
3	1	1	32.39	83.31	31.55	76.27	32.36	83.00	31.58	76.58	32.39	83.24	31.55	76.34
4	1	1	34.17	82.79	33.81	76.81	34.19	83.06	33.79	76.54	34.20	83.25	33.78	76.35
5	1	1	36.10	83.42	35.88	76.18	36.09	83.06	35.89	76.54	36.10	83.43	35.88	76.17
6	1	1	38.07	83.37	37.93	76.11	38.07	83.18	37.93	76.30	38.07	83.20	37.93	76.28
7	1	1	40.05	82.73	39.93	76.59	40.05	82.76	39.93	76.56	40.06	83.10	39.92	76.22
8	1	1	42.14	83.35	41.84	76.01	42.12	83.01	41.86	76.35	42.13	83.08	41.85	76.28
9	1	1	44.10	83.40	43.88	75.90	44.09	83.11	43.89	76.19	44.09	83.12	43.89	76.18
10	1	1	46.10	83.24	45.88	75.74	46.09	82.93	45.89	76.05	46.09	82.96	45.89	76.02
11	1	1	48.12	83.17	47.84	75.97	48.12	82.99	47.84	76.15	48.12	83.02	47.84	76.12
12	1	1	50.15	83.11	49.79	75.91	50.14	82.98	49.80	76.04	50.15	83.10	49.79	75.92
13	1	1	52.11	82.93	51.83	75.73	52.11	82.73	51.83	75.93	52.11	82.93	51.83	75.73
14	1	1	54.08	82.55	53.88	75.77	54.09	82.69	53.87	75.63	54.10	83.07	53.86	75.25
15	1	1	56.35	83.47	55.49	74.87	56.24	82.33	55.60	76.01	56.30	82.93	55.54	75.41
16	1	1	58.38	82.78	57.66	75.64	58.41	83.11	57.63	75.31	58.42	83.16	57.62	75.26
17	1	1	59.96	82.74	60.04	75.58	59.96	83.08	60.04	75.24	59.96	82.94	60.04	75.38
18	1	1	61.96	83.24	62.04	74.92	61.96	83.00	62.04	75.16	61.96	82.96	62.04	75.20
19	1	1	63.96	83.10	64.04	75.10	63.96	83.02	64.04	75.18	63.96	82.93	64.04	75.27
20	1	1	65.64	82.58	66.32	75.84	65.59	83.05	66.37	75.37	65.59	83.11	66.37	75.31
21	1	1	67.68	83.15	68.46	75.37	67.68	83.16	68.46	75.36	67.70	82.98	68.44	75.54
22	1	1	69.80	83.39	70.28	75.39	69.83	82.89	70.25	75.89	69.84	82.74	70.24	76.04
23	1	1	71.74	83.22	72.34	75.76	71.77	82.92	72.31	76.06	71.77	82.92	72.31	76.06
24	1	1	73.67	83.65	74.39	75.65	73.72	83.04	74.34	76.26	73.72	83.11	74.34	76.19
25	1	1	75.71	83.23	76.31	76.59	75.70	83.34	76.32	76.48	75.72	83.14	76.30	76.68
26	1	1	77.72	82.87	78.26	77.41	77.64	83.58	78.34	76.70	77.64	83.63	78.34	76.65
27	1	1	79.66	84.36	80.48	76.24	79.72	83.74	80.42	76.86	79.72	83.74	80.42	76.86
28	1	2	94.65	86.93	97.47	78.69	94.93	86.11	97.19	79.51	94.93	86.11	97.19	79.51
29	1	2	96.92	87.48	99.36	79.60	97.12	86.83	99.16	80.25	97.11	86.88	99.17	80.20
30	1	2	99.04	87.75	100.90	80.49	99.12	87.45	100.82	80.79	99.10	87.54	100.84	80.70
31	1	2	101.33	88.32	102.83	80.88	101.39	87.99	102.77	81.21	101.39	87.99	102.77	81.21
32	1	2	103.45	88.60	104.57	81.20	103.49	88.35	104.53	81.45	103.42	88.77	104.60	81.03
33	1	2	105.40	88.99	106.56	81.25	105.46	88.56	106.50	81.68	105.38	89.08	106.58	81.16
34	1	2	107.60	89.08	108.58	81.60	107.64	88.79	108.54	81.89	107.57	89.33	108.61	81.35
35	1	2	109.49	89.61	110.61	81.65	109.58	88.98	110.52	82.28	109.56	89.14	110.54	82.12
36	1	2	111.45	89.92	112.57	81.94	111.53	89.32	112.49	82.54	111.47	89.77	112.55	82.09
37	1	2	113.36	90.21	114.56	82.29	113.45	89.63	114.47	82.87	113.43	89.74	114.49	82.76
38	1	2	115.60	89.86	116.52	83.32	115.58	90.00	116.54	83.18	115.58	89.98	116.54	83.20
39	1	2	117.54	90.27	118.50	83.51	117.54	90.28	118.50	83.50	117.52	90.45	118.52	83.33
40	1	2	119.54	90.78	120.42	83.56	119.57	90.59	120.39	83.75	119.56	90.64	120.40	83.70
41	1	2	121.71	90.87	122.39	84.05	121.70	90.97	122.40	83.95	121.71	90.87	122.39	84.05
42	1	2	123.80	91.36	124.24	83.92	123.81	91.11	124.23	84.17	123.82	91.02	124.22	84.26
