			O1				O2				O3			
Ser	Image	Segment	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy
1	1	1	499.80	395.77	502.89	392.96	499.45	396.23	502.42	392.49	497.82	395.40	501.31	390.96
2	1	1	502.65	398.05	504.92	395.11	502.60	397.88	505.23	394.61	500.82	398.65	504.47	394.40
3	1	1	506.78	400.30	508.35	397.08	506.45	400.76	509.50	397.09	506.43	401.97	508.66	396.98
4	1	1	511.20	403.14	512.55	398.66	511.48	403.29	513.01	398.87	509.76	403.19	511.37	398.13
5	1	1	515.60	403.96	516.41	399.65	516.50	404.32	516.98	401.03	514.60	404.18	516.30	399.00
6	1	1	519.73	404.41	519.39	399.80	520.44	404.52	520.48	401.40	520.13	404.89	521.18	399.85
7	1	1	524.71	404.23	524.22	400.20	524.22	405.27	523.89	401.00	525.88	405.12	525.13	400.27
8	1	2	273.58	475.33	263.12	474.14	277.15	474.94	261.39	474.59	273.67	477.75	262.86	477.57
9	1	2	273.03	479.53	262.87	479.07	277.02	477.69	261.21	476.49	273.54	482.42	263.21	482.54
10	1	2	273.17	483.07	262.85	484.05	277.21	481.55	260.75	481.54	273.88	485.27	263.22	485.51
11	1	2	273.85	487.07	263.36	489.14	277.25	482.87	260.62	486.48	274.36	487.95	263.44	490.42
12	1	2	275.16	491.11	264.06	494.06	277.36	488.08	261.86	491.31	275.98	491.37	264.02	494.31
13	1	2	276.52	495.46	265.29	498.84	278.41	493.08	262.91	496.24	277.15	495.09	264.58	499.11
14	1	2	278.10	500.11	266.69	503.74	279.04	495.98	263.73	501.05	278.61	499.57	266.04	503.95
15	1	2	279.62	504.94	268.17	508.44	280.66	499.44	265.56	505.68	280.21	504.32	268.13	508.37
16	1	2	280.98	509.07	269.62	513.25	282.32	505.53	267.00	510.59	281.34	507.29	269.65	513.02
17	1	2	282.81	514.70	271.51	517.92	284.18	509.12	268.87	515.09	283.35	513.29	271.65	517.53
18	1	2	284.06	519.40	272.78	522.66	286.15	516.48	270.92	519.66	285.01	518.71	272.25	522.46
19	1	2	285.67	526.12	273.71	527.56	286.94	523.70	271.31	524.60	286.60	526.34	273.26	527.32
20	1	2	286.16	530.62	274.50	532.42	287.34	525.62	271.66	529.60	286.80	532.16	274.32	532.14
21	1	2	287.02	534.96	275.10	536.89	288.03	530.62	273.61	534.10	286.71	532.71	275.10	534.42
22	1	2	288.14	538.98	275.55	542.01	289.21	535.90	274.80	539.08	288.38	538.43	273.85	539.23
23	1	2	289.32	543.76	276.94	546.67	290.21	541.01	275.81	543.88	289.11	540.80	275.64	543.70
24	1	2	290.12	550.23	277.45	551.62	291.12	546.29	277.13	548.83	289.64	544.36	276.81	548.55
25	1	2	290.86	553.76	278.23	556.63	291.87	551.68	277.66	553.65	290.71	549.42	277.40	553.45
26	1	2	292.22	559.88	279.10	561.49	292.93	555.80	278.34	558.63	292.03	553.97	279.00	558.11
27	1	2	292.65	564.13	279.92	566.42	293.77	560.90	279.53	563.63	293.33	561.93	279.88	563.00
28	1	2	293.37	567.59	281.01	571.29	294.12	565.63	280.19	568.57	293.88	565.62	280.24	566.42
